"","grid_no","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"73",92153,0.0266837812716686,0.0846215040928799,0.699188815356379,0.755735294139455,0.066563857820522,0.46377697635788,0.126992755502653,1.03858742015671,0.403319778367105,0.136773885510551,0.208349863951857,0.229352700249798,0.425392135125456
"74",101158,2.53763240004968,1.46009270148261,2.83445365886557,2.30553821428472,2.03732756031502,6.01668706836336,2.43819729316105,6.14312765365711,1.95772897419942,3.02300723904018,5.27378508061962,2.98844207978133,4.85338943432332
"75",103158,3.70388705186391,1.76477979439274,2.45556309481203,2.28527125512948,1.94089080086006,4.58875764738407,2.29267496218208,3.84294817936774,1.46537386252027,3.94830412433501,4.26639288635029,3.08639411151373,4.78057196397067
"76",104156,2.66935469802769,1.92042272811559,2.22854781904026,2.89747088156146,1.95049449751297,5.13194529652689,2.51075836919051,5.61808120402633,2.16709543311694,4.97962786996257,5.31454613036316,3.61336343444214,4.51297063431616
"77",100190,2.88478787898351,4.80338957067683,6.28093451060807,6.25988406210372,12.4446048604027,7.87322055595487,9.66350690393707,8.41692771069497,10.7956166046943,4.58707129317668,5.63122913578755,10.4402027327405,6.55509850979738
"78",100193,3.89027136109949,5.97955824110957,6.44981114370944,8.02249392640899,14.2495769307175,7.7489527649533,9.9433158950848,9.82233466296361,12.5168239216686,7.89796234871598,5.85028478209324,14.2267493489686,9.13844756194124
"79",102192,3.27932693639995,5.26545031979402,6.25704672297922,6.6279344471912,12.5539819421166,8.26879787841211,9.1811822099863,8.98544040398912,10.440928716952,5.53757008525574,5.64873502740197,10.5046419546858,9.8623649509625
"80",105194,3.06547846483209,4.70934181008377,7.04949595496969,5.54034781931523,11.1336650981466,8.19050220771112,7.63468661483489,7.46503539600323,9.2781639250602,5.09662867676329,6.68361239965703,7.94078238980549,8.15013917201812
"81",109189,4.29327425635852,4.36256240920792,6.04070386411462,4.08241674908847,7.62209377494158,9.82135373368923,7.9802557233616,7.28731764437378,3.93953153011522,4.55786972678907,5.43036218220579,6.84683984623543,9.08611248548836
"82",99190,3.03490210174326,5.26849340228275,5.91639189392216,7.00398291568346,12.4146081560641,8.53871589884258,9.70153110764036,9.07035233528035,11.5731479837772,4.87866264118719,5.92892898897536,11.2202240681364,7.02101787675533
